"ID_REF"	"GSM7111530"	"GSM7111531"	"GSM7111532"	"GSM7111533"	"GSM7111534"	"GSM7111535"
"TC1000001983.mm.2"	39.3564	30.007393	37.987194	30.792377	39.945606	36.32541
"TC1000001986.mm.2"	28.962837	30.258091	35.103024	29.655617	28.422365	28.148613
"TC1000001988.mm.2"	144.85597	135.74484	140.15482	163.70908	141.27371	173.99391
"TC1000001990.mm.2"	52.01993	54.413727	47.99606	54.72794	77.74309	53.640533
"TC1000001991.mm.2"	2224.6252	1808.4877	1825.2526	1977.2124	1763.7421	2071.699
"TC1000001992.mm.2"	46.51265	45.952087	48.383068	59.87178	46.046135	57.95398
"TC1000001993.mm.2"	765.4913	635.3014	560.0277	514.19073	617.1461	546.06213
"TC1000001994.mm.2"	62.956505	50.342323	62.078888	54.40333	52.25548	56.41297
"TC1000001995.mm.2"	7976.042	7987.84	7721.591	6310.1177	6125.3027	6054.3564
"TC1000002000.mm.2"	994.6315	813.316	796.08875	773.96405	738.6517	714.3375
"TC1000002003.mm.2"	908.7116	901.4293	895.88153	1032.9783	1258.2394	1312.265
"TC1000002008.mm.2"	75292.38	65398.555	67356.87	70994.39	67312.18	69060.586
"TC1000002015.mm.2"	52.784172	47.879765	42.115707	37.77997	42.50989	46.195724
"TC1000002017.mm.2"	120.22282	119.59512	98.47239	112.88585	107.16142	120.94691
"TC1000002018.mm.2"	67.90848	87.63924	68.032104	74.20638	72.273796	68.12109
"TC1000002030.mm.2"	300.98428	251.16833	242.40475	261.43903	277.43738	215.16385
"TC1000002031.mm.2"	54.32788	53.139942	51.112774	54.450443	64.01513	55.023746
"TC1000002032.mm.2"	198.89067	184.9464	169.66646	167.4473	195.64635	155.36961
"TC1000002035.mm.2"	348.5256	362.50925	356.7202	317.45758	331.85468	286.4991
"TC1000002036.mm.2"	67.385	65.43647	70.26037	60.082405	81.36846	85.033325
"TC1000002041.mm.2"	2333.4712	2524.1057	2499.4014	3154.7397	3579.8752	2987.357
"TC1000002042.mm.2"	3319.56	3444.273	3251.099	4116.4556	3758.085	3677.1218
"TC1000002043.mm.2"	8932.182	8935.867	9315.99	9948.886	8938.378	11900.216
